Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway	Ontology_parents_of_class
PWY-3481	CHORISMATE // GLT // PREPHENATE // 2-KETOGLUTARATE // NADPH // TYR // NADP // PHE // WATER // CARBON-DIOXIDE // PROTON // CPD-659	AT5G34930-MONOMER // CPLX-4861 // AT1G69370-MONOMER // AT5G10870-MONOMER // AT3G29200-MONOMER // AT2G22250-MONOMER // AT5G22630-MONOMER // AT1G11790-MONOMER // AT3G07630-MONOMER // AT2G27820-MONOMER // AT3G44720-MONOMER // AT1G08250-MONOMER	AT5G34930 // AT1G15710 // AT1G69370 // AT5G10870 // AT3G29200 // AT2G22250 // AT5G22630 // AT1G11790 // AT3G07630 // AT2G27820 // AT3G44720 // AT1G08250	CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN // RXN-5682 // PREPHENATE-TRANSAMINE-RXN // CHORISMATEMUT-RXN			Amino-Acid-Biosynthesis // Super-Pathways
THRESYN-PWY	NADH-P-OR-NOP // NAD-P-OR-NOP // L-BETA-ASPARTYL-P // NADPH // NADP // L-ASPARTATE-SEMIALDEHYDE // ADP // PROTON // HOMO-SER // ATP // THR // Pi // O-PHOSPHO-L-HOMOSERINE // WATER // GLT // OXALACETIC_ACID // L-ASPARTATE // 2-KETOGLUTARATE	AT3G02020-MONOMER // AT5G13280-MONOMER // AT5G14060-MONOMER // AT1G31230-MONOMER // AT4G19710-MONOMER // AT5G21060-MONOMER // CPLX-7018 // AT2G17265-MONOMER // AT4G35295-MONOMER // AT4G29840-MONOMER // AT1G72810-MONOMER // AT2G30970-MONOMER // AT4G31990-MONOMER // AT5G19550-MONOMER // AT1G62960-MONOMER // AT5G51690-MONOMER // AT5G11520-MONOMER // AT1G62800-MONOMER	AT3G02020 // AT5G13280 // AT5G14060 // AT1G31230 // AT4G19710 // AT5G21060 // AT1G14810 // AT2G17265 // AT4G35295 // AT4G29840 // AT1G72810 // AT2G30970 // AT4G31990 // AT5G19550 // AT1G62960 // AT5G51690 // AT5G11520 // AT1G62800	ASPAMINOTRANS-RXN // THRESYN-RXN // HOMOSERKIN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // HOMOSERDEHYDROG-RXN // ASPARTATEKIN-RXN			Super-Pathways // THREONINE-BIOSYNTHESIS
PWY-5433	CPD-8679 // CPD-8680 // CPD-8682 // CPD-8683 // CPD-8681 // T-2-NONENAL-CMPD // CPD-8677 // CPD-21295 // CPD-8686 // CPD-8678 // WATER // CPD-8690 // LINOLEIC_ACID // HEXANAL // 13-HYDROPEROXYOCTADECA-911-DIENOATE // LINOLENIC_ACID // OXYGEN-MOLECULE // CPD-725 // NADH // NAD // 12-OXO-TRANS-10-DODECENOATE // 12-OXO-CIS-9-DODECENOATE // CO-A // CPD-12846 // ACETYL-COA // CIS-3-HEXENOL // CIS-3-HEXENAL // PROTON // NADPH // TRANS-2-HEXENAL // TRANS-2-HEXENOL // NADP	AT1G55020-MONOMER // AT3G22400-MONOMER // AT3G45140-MONOMER // AT1G17420-MONOMER // AT1G72520-MONOMER // AT1G67560-MONOMER // CPLX-1383 // AT4G15440-MONOMER // AT5G47980-MONOMER // AT5G16410-MONOMER // AT1G31490-MONOMER // AT1G32910-MONOMER // AT1G78990-MONOMER // AT3G03480-MONOMER // AT5G17540-MONOMER // MONOMERQT-8825 // AT1G54870-MONOMER // AT3G04000-MONOMER // AT2G24190-MONOMER // AT3G61220-MONOMER // AT2G37770-MONOMER // AT3G05260-MONOMER // AT2G37790-MONOMER // MONOMERQT-7933 // AT3G03980-MONOMER // AT3G53880-MONOMER // AT4G13180-MONOMER // AT5G62420-MONOMER	AT1G55020 // AT3G22400 // AT3G45140 // AT1G17420 // AT1G72520 // AT1G67560 // G-1082 // AT4G15440 // AT5G47980 // AT5G16410 // AT1G31490 // AT1G32910 // AT1G78990 // AT3G03480 // AT5G17540 // AT3G03350 // AT1G54870 // AT3G04000 // AT2G24190 // AT3G61220 // AT2G37770 // AT3G05260 // AT2G37790 // AT5G18210 // AT3G03980 // AT3G53880 // AT4G13180 // AT5G62420	RXN-12299 // RXN-1346 // RXN-11852 // RXN-1349 // RXN-1347 // RXN-1345 // RXN-1321 // HYDROHEX-RXN // LIPOXYGENASE-RXN // RXN-8504 // RXN-8503 // RXN-8502 // RXN-8501 // RXN-8500 // RXN-8499 // RXN-8498 // RXN-8497 // RXN-8496 // RXN-8495			FATTY-ACID-DERIVATIVE-SYN // Super-Pathways
PWY-4221ARA	CO-A // DEPHOSPHO-COA // CARBON-DIOXIDE // PANTETHEINE-P // CMP // R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE // CYS // CTP // AMP // PPI // B-ALANINE // NADPH // L-PANTOATE // NADP // THF-GLU-N // 2-DEHYDROPANTOATE // METHYLENE-THF-GLU-N // 2-KETO-ISOVALERATE // WATER // ADP // 4-P-PANTOTHENATE // PROTON // PANTOTHENATE // ATP	AT2G18250-MONOMER // AT2G27490-MONOMER // AT3G18030-MONOMER // AT1G48605-MONOMER // AT1G12350-MONOMER // MONOMERQT-8074 // AT5G48840-MONOMER // AT5G34780-MONOMER // AT3G61530-MONOMER // AT2G46110-MONOMER // AT4G32180-MONOMER // AT1G60440-MONOMER	AT2G18250 // AT2G27490 // AT3G18030 // AT1G48605 // AT1G12350 // AT5G02080 // AT5G48840 // AT5G34780 // AT3G61530 // AT2G46110 // AT4G32180 // AT1G60440	PANTOTHENATE-KIN-RXN // 3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN // 2-DEHYDROPANTOATE-REDUCT-RXN // PANTOATE-BETA-ALANINE-LIG-RXN // P-PANTOCYSLIG-RXN // P-PANTOCYSDECARB-RXN // DEPHOSPHOCOAKIN-RXN // PANTEPADENYLYLTRAN-RXN			CoA-Biosynthesis // Super-Pathways
COMPLETE-ARO-ARA-PWY	CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P // PRPP // N-5-PHOSPHORIBOSYL-ANTHRANILATE // PPI // PYRUVATE // ANTHRANILATE // GLN // GAP // INDOLE-3-GLYCEROL-P // TRP // INDOLE // SER // CHORISMATE // GLT // PREPHENATE // 2-KETOGLUTARATE // NADPH // TYR // NADP // PHE // WATER // CARBON-DIOXIDE // PROTON // CPD-659	AT2G04400-MONOMER // AT5G48220-MONOMER // AT1G07780-MONOMER // AT1G29410-MONOMER // AT5G05590-MONOMER // PAI4-MONOMER // AT5G17990-MONOMER // AT1G25220-MONOMER // AT2G29690-MONOMER // AT5G05730-MONOMER // AT5G57890-MONOMER // AT1G24909-MONOMER // AT1G25083-MONOMER // AT1G24807-MONOMER // AT1G25155-MONOMER // MONOMERQT-8471 // MONOMERQT-9327 // AT3G54640-MONOMER // AT4G27070-MONOMER // AT4G02610-MONOMER // AT5G54810-MONOMER // AT5G28237-MONOMER // AT5G38530-MONOMER // CPLX-8288 // AT5G34930-MONOMER // CPLX-4861 // AT1G69370-MONOMER // AT5G10870-MONOMER // AT3G29200-MONOMER // AT2G22250-MONOMER // AT5G22630-MONOMER // AT1G11790-MONOMER // AT3G07630-MONOMER // AT2G27820-MONOMER // AT3G44720-MONOMER // AT1G08250-MONOMER	AT2G04400 // AT5G48220 // AT1G07780 // AT1G29410 // AT5G05590 // PAI4 // AT5G17990 // AT1G25220 // AT2G29690 // AT5G05730 // AT5G57890 // AT1G24909 // AT1G25083 // AT1G24807 // AT1G25155 // AT3G55870 // AT1G70570 // AT3G54640 // AT4G27070 // AT4G02610 // AT5G54810 // AT5G28237 // AT5G38530 // AT5G34930 // AT1G15710 // AT1G69370 // AT5G10870 // AT3G29200 // AT2G22250 // AT5G22630 // AT1G11790 // AT3G07630 // AT2G27820 // AT3G44720 // AT1G08250	CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN // RXN-5682 // PREPHENATE-TRANSAMINE-RXN // CHORISMATEMUT-RXN // RXN0-2382 // RXN0-2381 // ANTHRANSYN-RXN // PRTRANS-RXN // PRAISOM-RXN // IGPSYN-RXN			Amino-Acid-Biosynthesis // Super-Pathways
PWY4FS-5	ADP // CHOLINE // ATP // CDP-CHOLINE // PHOSPHORYL-ETHANOLAMINE // PHOSPHORYL-CHOLINE // CPD-406 // CPD-405 // CDP-N-METHYLETHANOLAMIN // ADENOSYL-HOMO-CYS // PHOSPHATIDYLCHOLINE // S-ADENOSYLMETHIONINE // PPI // CPD-5441 // CTP // PROTON // CMP // CPD-160 // CPD4FS-1 // DIACYLGLYCEROL	AT2G32260-MONOMER // AT4G15130-MONOMER // AT1G13560-MONOMER // AT3G25585-MONOMER // AT3G01660-MONOMER // AT1G80860-MONOMER // MONOMERQT-7970 // AT5G06050-MONOMER // MONOMERQT-9726 // AT1G48600-MONOMER // AT1G73600-MONOMER // AT3G18000-MONOMER	AT2G32260 // AT4G15130 // AT1G13560 // AT3G25585 // AT3G01660 // AT1G80860 // AT5G14430 // AT5G06050 // AT1G04430 // AT1G48600 // AT1G73600 // AT3G18000	RXN4FS-4 // RXN4FS-3 // RXN4FS-2 // RXN4FS-1 // 2.1.1.71-RXN // 2.7.7.57-RXN // RXN-5642 // RXN-5643 // 2.1.1.103-RXN // RXN-5781 // 2.7.7.15-RXN // CHOLINE-KINASE-RXN			Super-Pathways
PHOSLIPSYN2-PWY	L-1-phosphatidyl-inositols // MYO-INOSITOL // NADH-P-OR-NOP // DIHYDROXY-ACETONE-PHOSPHATE // NAD-P-OR-NOP // ACP // ACYL-ACP // L-PHOSPHATIDATE // CO-A // ACYL-SN-GLYCEROL-3P // ACYL-COA // CPD4FS-1 // CPD-406 // CPD-160 // CPD-405 // CDP-N-METHYLETHANOLAMIN // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // CPD-5441 // PHOSPHATIDYLCHOLINE // CDP-CHOLINE // PHOSPHORYL-CHOLINE // CHOLINE // L-1-PHOSPHATIDYL-SERINE // ADP // ATP // PPI // PHOSPHORYL-ETHANOLAMINE // CTP // L-1-PHOSPHATIDYL-ETHANOLAMINE // DIACYLGLYCEROL // CDP-ETHANOLAMINE // CARBON-DIOXIDE // ETHANOL-AMINE // SER // PROTON // CMP // CDPDIACYLGLYCEROL // GLYCEROL-3P // Pi // L-1-PHOSPHATIDYL-GLYCEROL // L-1-PHOSPHATIDYL-GLYCEROL-P // WATER	CPLX-1505 // AT4G38570-MONOMER // AT3G01660-MONOMER // AT1G80860-MONOMER // MONOMERQT-7970 // AT5G06050-MONOMER // MONOMERQT-9726 // AT1G48600-MONOMER // AT1G73600-MONOMER // AT3G18000-MONOMER // AT2G32260-MONOMER // AT4G15130-MONOMER // AT1G15110-MONOMER // AT4G16700-MONOMER // CPLX-9226 // CPLX-9227 // AT1G74320-MONOMER // AT2G26830-MONOMER // AT1G71697-MONOMER // MONOMERQT-8342 // AT2G38670-MONOMER // AT3G25585-MONOMER // AT1G13560-MONOMER // AT1G43710-CPLX // AT4G26770-MONOMER // AT4G22340-MONOMER // AT1G62430-MONOMER // MONOMERQT-8538 // MONOMERQT-9379 // CPLX-1762 // MONOMERQT-8376 // MONOMERQT-8733 // AT1G02390-MONOMER // AT5G40610-MONOMER // CPLX-1506 // MONOMERQT-8437	AT1G68000 // AT4G38570 // AT3G01660 // AT1G80860 // AT5G14430 // AT5G06050 // AT1G04430 // AT1G48600 // AT1G73600 // AT3G18000 // AT2G32260 // AT4G15130 // AT1G15110 // AT4G16700 // AT4G25970 // AT5G57190 // AT1G74320 // AT2G26830 // AT1G71697 // AT4G09760 // AT2G38670 // AT3G25585 // AT1G13560 // AT1G43710 // AT4G26770 // AT4G22340 // AT1G62430 // AT3G47630 // AT1G64670 // G-11896 // AT4G01950 // AT3G11325 // AT1G02390 // AT5G40610 // AT2G39290 // AT3G58830	PGPPHOSPHA-RXN // PHOSPHAGLYPSYN-RXN // RXN-5641 // ETHANOLAMINEPHOSPHOTRANSFERASE-RXN // 2.7.7.14-RXN // ETHANOLAMINE-KINASE-RXN // PHOSPHASERDECARB-RXN // CHOLINE-KINASE-RXN // RXN-5781 // 2.7.7.15-RXN // RXN-5643 // RXN4FS-1 // 2.1.1.71-RXN // 2.7.7.57-RXN // RXN-5642 // 2.1.1.103-RXN // RXN4FS-2 // RXN4FS-4 // RXN4FS-3 // RXN-1381 // RXN-1623 // RXN-10462 // 1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN // GLYC3PDEHYDROGBIOSYN-RXN // CDPDIGLYSYN-RXN // PHOSPHASERSYN-RXN // RXN-1382 // 2.7.8.11-RXN	CDPDIACYLGLYCEROL // SER // L-1-PHOSPHATIDYL-ETHANOLAMINE // MYO-INOSITOL	CMP // L-1-PHOSPHATIDYL-SERINE // PROTON // ETHANOL-AMINE // L-1-phosphatidyl-inositols	Phospholipid-Biosynthesis // Super-Pathways
PWY-5863	ADENOSYL-HOMO-CYS // CPD-12831 // S-ADENOSYLMETHIONINE // CPD-12830 // CPD-6947 // Donor-H2 // CPD-18334 // Acceptor // PHYTYL-PYROPHOSPHATE // CPD-7003 // NADPH // CPD-7002 // NADP // GERANYLGERANYL-PP // DELTA3-ISOPENTENYL-PP // FARNESYL-PP // PPI // AMP // ATP // O-SUCCINYLBENZOATE // CHORISMATE // CARBON-DIOXIDE // ISOCHORISMATE // 2-KETOGLUTARATE // PYRUVATE // CPD-9923 // CPD-9924 // CPD-6972 // CO-A // DIHYDROXYNAPHTHOATE // PROTON // CPD-9925 // WATER	AT1G60600-MONOMER // AT1G23360-MONOMER // MONOMERQT-7892 // MONOMERQT-8567 // AT5G08740-MONOMER // AT1G74470-MONOMER // AT1G36623-MONOMER // AT1G17050-MONOMER // AT1G78510-MONOMER // AT1G49530-MONOMER // AT2G18620-MONOMER // AT3G29430-MONOMER // AT3G20160-MONOMER // AT3G32040-MONOMER // AT2G18640-MONOMER // AT3G14550-MONOMER // AT2G23800-MONOMER // AT4G36810-MONOMER // AT3G59380-MONOMER // AT3G14510-MONOMER // AT3G14530-MONOMER // AT4G38460-MONOMER // AT1G30520-MONOMER // AT1G18870-MONOMER // AT1G74710-MONOMER // AT1G60550-MONOMER // AT1G68890-MONOMER // AT5G48950-MONOMER // AT1G48320-MONOMER	AT1G60600 // AT1G23360 // AT5G22140 // AT3G44190 // AT5G08740 // AT1G74470 // AT1G36623 // AT1G17050 // AT1G78510 // AT1G49530 // AT2G18620 // AT3G29430 // AT3G20160 // AT3G32040 // AT2G18640 // AT3G14550 // AT2G23800 // AT4G36810 // AT3G59380 // AT3G14510 // AT3G14530 // AT4G38460 // AT1G30520 // AT1G18870 // AT1G74710 // AT1G60550 // AT1G68890 // AT5G48950 // AT1G48320	RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN // FARNESYLTRANSTRANSFERASE-RXN // RXN-7658 // RXN-7659 // RXN-7660 // RXN-17066 // RXN-17007 // RXN-7569 // RXN-7568	DIHYDROXYNAPHTHOATE // Acceptor	CPD-18334 // Donor-H2	Phylloquinone-Biosynthesis // Super-Pathways
PWY-5864	OXYGEN-MOLECULE // CARBON-DIOXIDE // HOMOGENTISATE // PROTON // ADENOSYL-HOMO-CYS // CPD-12829 // S-ADENOSYLMETHIONINE // 2-METHYL-6-SOLANYL-14-BENZOQUINONE // PPI // CPD-21340 // GERANYL-PP // DELTA3-ISOPENTENYL-PP // P-HYDROXY-PHENYLPYRUVATE // GLT // TYR // 2-KETOGLUTARATE	CPLX-2783 // AT3G11945-MONOMER // MONOMERQT-8723 // MONOMER-3261 // AT3G63410-MONOMER // AT1G78510-MONOMER // AT1G17050-MONOMER // AT1G36623-MONOMER // AT5G51690-MONOMER // AT5G53970-MONOMER // AT1G70560-MONOMER // AT5G36160-MONOMER // AT1G80360-MONOMER	AT1G06570 // AT3G11945 // AT3G11950 // G-2341 // AT3G63410 // AT1G78510 // AT1G17050 // AT1G36623 // AT5G51690 // AT5G53970 // AT1G70560 // AT5G36160 // AT1G80360	TYROSINE-AMINOTRANSFERASE-RXN // TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN // RXN-2762 // RXN-2761 // 4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN			Plastoquinone-Biosynthesis // Super-Pathways
POLYAMINSYN3-PWY	S-ADENOSYLMETHIONINE // L-ORNITHINE // ARG // AGMATHINE // AMMONIUM // CARBON-DIOXIDE // PUTRESCINE // CPD-597 // WATER // 5-METHYLTHIOADENOSINE // SPERMINE // PROTON // SPERMIDINE // S-ADENOSYLMETHIONINAMINE	AT1G70310-MONOMER // AT1G23820-MONOMER // AT5G04610-MONOMER // CPLXQT-25 // AT5G15950-MONOMER // AT5G18930-MONOMER // AT3G25570-MONOMER // AT3G17717-MONOMER // AT4G34710-MONOMER // AT2G16500-MONOMER // CPLX-2242 // CPLX-1642 // AT5G19530-MONOMER // AT5G53120-MONOMER	AT1G70310 // AT1G23820 // AT5G04610 // AT3G02470 // AT5G15950 // AT5G18930 // AT3G25570 // AT3G17717 // AT4G34710 // AT2G16500 // AT5G08170 // AT2G27450 // AT5G19530 // AT5G53120	SPERMINE-SYNTHASE-RXN // N-CARBAMOYLPUTRESCINE-AMIDASE-RXN // AGMATINE-DEIMINASE-RXN // ARGDECARBOX-RXN // ORNDECARBOX-RXN // SAMDECARB-RXN // SPERMIDINESYN-RXN	SPERMIDINE // S-ADENOSYLMETHIONINAMINE	PROTON // SPERMINE // 5-METHYLTHIOADENOSINE	Polyamine-Biosynthesis // Super-Pathways
PWYQT-62	HYDROXYMETHYLBILANE // AMMONIUM // PORPHOBILINOGEN // 5-AMINO-LEVULINATE // NADPH // GLUTAMATE-1-SEMIALDEHYDE // NADP // AMP // Charged-GLT-tRNAs // GLT-tRNAs // GLT // ATP // HYDROGEN-PEROXIDE // PROTOPORPHYRIN_IX // CARBON-DIOXIDE // PROTOPORPHYRINOGEN // COPROPORPHYRINOGEN_III // OXYGEN-MOLECULE // NADH // NAD // SIROHEME // SIROHYDROCHLORIN // FE+2 // PROTON // UROPORPHYRINOGEN-III // DIHYDROSIROHYDROCHLORIN // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // CPD-9038 // PPI // CPD-17063 // PROTOHEME // FARNESYL-PP // WATER	AT2G26540-MONOMER // AT5G08280-MONOMER // AT1G44318-MONOMER // AT1G69740-MONOMER // AT5G63570-MONOMER // AT3G48730-MONOMER // AT1G58290-MONOMER // AT1G09940-MONOMER // AT2G31250-MONOMER // AT4G01690-MONOMER // MONOMERQT-7980 // AT2G30390-MONOMER // AT5G26030-MONOMER // AT2G40490-MONOMER // AT3G14930-MONOMER // AT1G03475-MONOMER // AT4G03205-MONOMER // AT1G50170-MONOMER // AT5G40850-MONOMER // AT2G44520-MONOMER	AT2G26540 // AT5G08280 // AT1G44318 // AT1G69740 // AT5G63570 // AT3G48730 // AT1G58290 // AT1G09940 // AT2G31250 // AT4G01690 // AT5G14220 // AT2G30390 // AT5G26030 // AT2G40490 // AT3G14930 // AT1G03475 // AT4G03205 // AT1G50170 // AT5G40850 // AT2G44520	HEMEOSYN-RXN // RXN-8675 // UROPORIIIMETHYLTRANSA-RXN // SIROHEME-FERROCHELAT-RXN // DIMETHUROPORDEHYDROG-RXN // RXN0-1461 // UROGENDECARBOX-RXN // PROTOHEMEFERROCHELAT-RXN // PROTOPORGENOXI-RXN // GLURS-RXN // GLUTRNAREDUCT-RXN // GSAAMINOTRANS-RXN // PORPHOBILSYNTH-RXN // OHMETHYLBILANESYN-RXN // UROGENIIISYN-RXN	PROTOHEME // FARNESYL-PP // WATER	CPD-17063 // PPI	HEME-SYN // Super-Pathways
PWY-841	AMMONIUM // PRPP // 5-P-BETA-D-RIBOSYL-AMINE // GLY // 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE // 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE // 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE // CARBON-DIOXIDE // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE // P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE // THF-GLU-N // FORMYL-THF-GLU-N // AICAR // PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE // DATP // DADP // Pi // L-ASPARTATE // FUM // ADENYLOSUCC // NADH // NAD // IMP // AMP // PPI // GLT // PROTON // XANTHOSINE-5-PHOSPHATE // GLN // GMP // GTP // Red-Thioredoxin // GDP // Ox-Thioredoxin // WATER // ADP // DGTP // DGDP // ATP	AT2G16570-MONOMER // AT4G34740-MONOMER // AT4G38880-MONOMER // AT1G09830-MONOMER // AT1G31220-MONOMER // AT1G74260-MONOMER // AT3G55010-MONOMER // AT2G37690-MONOMER // AT2G05140-MONOMER // AT3G21110-MONOMER // AT2G35040-MONOMER // CPLXQT-5 // AT4G18440-MONOMER // AT1G36280-MONOMER // AT2G37250-MONOMER // AT2G39270-MONOMER // AT5G50370-MONOMER // AT5G47840-MONOMER // AT3G01820-MONOMER // AT5G35170-MONOMER // AT5G63400-MONOMER // AT5G60340-MONOMER // AT1G79470-MONOMER // AT1G16350-MONOMER // AT1G63660-MONOMER // AT2G41880-MONOMER // AT3G57550-MONOMER // AT3G06200-MONOMER // CPLXQT-14 // CPLXQT-6 // CPLXQT-13 // AT4G23895-MONOMER // CPLX-8615 // AT4G23900-MONOMER // AT1G17410-MONOMER // AT4G11010-MONOMER // AT5G63310-MONOMER	AT2G16570 // AT4G34740 // AT4G38880 // AT1G09830 // AT1G31220 // AT1G74260 // AT3G55010 // AT2G37690 // AT2G05140 // AT3G21110 // AT2G35040 // AT3G57610 // AT4G18440 // AT1G36280 // AT2G37250 // AT2G39270 // AT5G50370 // AT5G47840 // AT3G01820 // AT5G35170 // AT5G63400 // AT5G60340 // AT1G79470 // AT1G16350 // AT1G63660 // AT2G41880 // AT3G57550 // AT3G06200 // AT3G27060 // AT2G21790 // AT3G23580 // AT5G40942 // AT4G23895 // AT4G09320 // AT4G23900 // AT1G17410 // AT4G11010 // AT5G63310	DGDPKIN-RXN // GDPREDUCT-RXN // GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN // ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN // DADPKIN-RXN // ADPREDUCT-RXN // IMPCYCLOHYDROLASE-RXN // AICARTRANSFORM-RXN // AICARSYN-RXN // SAICARSYN-RXN // AIRCARBOXY-RXN // AIRS-RXN // FGAMSYN-RXN // GART-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN			Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways
P165-PWY	HYDROGEN-PEROXIDE // OXYGEN-MOLECULE // CARBON-DIOXIDE // S-ALLANTOIN // CPD-5821 // 5-HYDROXYISOURATE // AMP // XANTHOSINE-5-PHOSPHATE // IMP // INOSINE // URATE // NADH // HYPOXANTHINE // NAD // Pi // GMP // XANTHOSINE // XANTHINE // AMMONIUM // PROTON // GUANINE // D-Ribofuranose // GUANOSINE // WATER	AT2G26230-MONOMER // CPLX-7518 // AT2G38280-MONOMER // AT1G79470-MONOMER // AT1G16350-MONOMER // AT1G05620-MONOMER // AT5G18860-MONOMER // AT5G18890-MONOMER // AT5G18870-MONOMER // AT2G36310-MONOMER // MONOMERQT-7841 // AT3G05300-MONOMER // MONOMERQT-9307 // MONOMERQT-9098 // AT2G38680-MONOMER // AT4G14930-MONOMER // AT1G75210-MONOMER // AT5G48960-MONOMER // AT4G34890-MONOMER // CPLX-6985 // AT4G34900-MONOMER // AT4G37500-MONOMER // AT4G31196-MONOMER // AT4G02180-MONOMER // AT3G04390-MONOMER	AT2G26230 // AT5G58220 // AT2G38280 // AT1G79470 // AT1G16350 // AT1G05620 // AT5G18860 // AT5G18890 // AT5G18870 // AT2G36310 // AT5G28050 // AT3G05300 // AT1G72880 // AT2G23890 // AT2G38680 // AT4G14930 // AT1G75210 // AT5G48960 // AT4G34890 // AT4G34900 // AT4G37500 // AT4G31196 // AT4G02180 // AT3G04390	RXN0-366 // GUANINE-DEAMINASE-RXN // GUANOSINE-DEAMINASE-RXN // RXN-7609 // RXN-7682 // RXN0-901 // RXN0-363 // INOSINE-NUCLEOSIDASE-RXN // RXN-7607 // XMPXAN-RXN // IMP-DEHYDROG-RXN // AMP-DEAMINASE-RXN // 3.5.2.17-RXN // RXN-6201 // URATE-OXIDASE-RXN			Super-Pathways // Urate-Degradation
PWY-7200	TTP // TDP // DCTP // DCDP // AMMONIUM // WATER // DEOXYURIDINE // ADP // THYMIDINE // ATP // PROTON // Nucleoside-Diphosphates // DCMP // DEOXYCYTIDINE // Nucleoside-Triphosphates // DIHYDROFOLATE-GLU-N // TMP // METHYLENE-THF-GLU-N // DUMP	AT5G59440-MONOMER // AT1G48030-MONOMER // AT5G26667-MONOMER // MONOMERQT-8424 // AT3G60961-MONOMER // AT4G23895-MONOMER // CPLX-8615 // AT4G23900-MONOMER // AT1G17410-MONOMER // AT4G11010-MONOMER // AT5G63310-MONOMER // AT2G19570-MONOMER // AT4G29580-MONOMER // AT4G29610-MONOMER // AT4G29600-MONOMER // AT4G29640-MONOMER // AT4G29620-MONOMER // AT4G29630-MONOMER // AT4G29570-MONOMER // AT4G29650-MONOMER // CPLX-8106 // AT3G07800-MONOMER // AT5G23070-MONOMER // MONOMERQT-8592 // AT2G02580-MONOMER // AT2G24180-MONOMER // AT3G26300-MONOMER // AT3G26310-MONOMER // AT3G26320-MONOMER // AT3G26330-MONOMER // AT3G53305-MONOMER // AT5G25140-MONOMER // AT5G25180-MONOMER // AT5G57260-MONOMER // AT5G25120-MONOMER // AT5G25130-MONOMER // AT1G72040-MONOMER // AT4G34570-MONOMER // AT2G16370-MONOMER // AT2G21550-MONOMER	AT5G59440 // AT1G48030 // AT5G26667 // AT3G60180 // AT3G60961 // AT4G23895 // AT4G09320 // AT4G23900 // AT1G17410 // AT4G11010 // AT5G63310 // AT4G29580 // AT4G29610 // AT4G29600 // AT4G29640 // AT4G29620 // AT4G29630 // AT4G29570 // AT4G29650 // AT2G19570 // AT3G07800 // AT5G23070 // AT3G26290 // AT2G02580 // AT2G24180 // AT3G26300 // AT3G26310 // AT3G26320 // AT3G26330 // AT3G53305 // AT5G25140 // AT5G25180 // AT5G57260 // AT5G25120 // AT5G25130 // AT1G72040 // AT4G34570 // AT2G16370 // AT2G21550	THYMIDYLATESYN-RXN // DEOXYCYTIDINE-KINASE-RXN // THYKI-RXN // DURIDKI-RXN // CYTIDEAM-RXN // DCDPKIN-RXN // DTDPKIN-RXN // RXN-7913 // DTMPKI-RXN			Pyrimidine-Nucleotide-Salvage // Super-Pathways
