Pathways	Compounds of pathway	Enzymes of pathway	Genes of pathway	Ontology - parents of class	Reactants of pathway	Reactions of pathway
PWY-7101	CPD1F-129 // CPD-7204 // CPD-14646 // CPD-14650 // CPD-14647 // CPD-14649 // OXYGEN-MOLECULE // Donor-H2 // CPD-14652 // CPD-14651 // Acceptor // PROTON	MONOMERDQC-43200 // MONOMERDQC-43204 // ZM00001D035081-MONOMER // MONOMERDQC-48851 // MONOMERDQC-50525 // ZM00001D002736-MONOMER // ZM00001D043442-MONOMER	ZM00001D007560 // ZM00001D007549 // ZM00001D035081 // ZM00001D024718 // ZM00001D045816 // ZM00001D002736 // ZM00001D043442	Plant-Hormone-Biosynthesis	Acceptor // OXYGEN-MOLECULE // CPD1F-129	RXN-13645 // RXN-13644 // RXN-13643 // RXN-13642 // RXN-13641
PWY-6147	AMP // DIHYDROPTERIN-CH2OH-PP // ATP // AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE // GLYCOLALDEHYDE // Pi // DIHYDRO-NEO-PTERIN // PPI // DIHYDRONEOPTERIN-P // DIHYDRONEOPTERIN-P3 // FORMATE // PROTON // GTP // WATER	ZM00001D021338-MONOMER // MONOMERDQC-59867 // ZM00001D031979-MONOMER // MONOMERDQC-43512 // MONOMERDQC-55382	ZM00001D021338 // ZM00001D031995 // ZM00001D031979 // ZM00001D001959 // ZM00001D026531	6-HM-Dihydropterin-PP-Biosynthesis	GTP // WATER // ATP	GTP-CYCLOHYDRO-I-RXN // H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN
PWY-695	NADH // NAD // HYDROGEN-PEROXIDE // CPD-693 // PROTON // CPD-692 // WATER // CPD1F-4 // CPD-7279 // OXYGEN-MOLECULE // CPD-7424 // CPD1F-135 // CPD1F-133	MONOMERDQC-53249 // ZM00001D028806-MONOMER // ZM00001D047698-MONOMER // ZM00001D049277-MONOMER // GDQC-109693-MONOMER // GDQC-110224-MONOMER // ZM00001D017766-MONOMER // ZM00001D031086-MONOMER // ZM00001D008638-MONOMER // MONOMERDQC-43758 // ZM00001D013689-MONOMER // ZM00001D009286-MONOMER // ZM00001D051556-MONOMER // ZM00001D019813-MONOMER // ZM00001D027592-MONOMER // ZM00001D027690-MONOMER // ZM00001D022623-MONOMER // ZM00001D033222-MONOMER // ZM00001D000157-MONOMER // ZM00001D000095-MONOMER // ZM00001D035724-MONOMER // ZM00001D045172-MONOMER // ZM00001D023690-MONOMER // ZM00001D045232-MONOMER // ZM00001D033377-MONOMER // ZM00001D041319-MONOMER // ZM00001D023458-MONOMER // ZM00001D042076-MONOMER // ZM00001D007876-MONOMER // ZM00001D018819-MONOMER	ZM00001D013015 // ZM00001D028806 // ZM00001D047698 // ZM00001D049277 // GDQC-109693 // GDQC-110224 // ZM00001D017766 // ZM00001D031086 // ZM00001D008638 // ZM00001D020069 // ZM00001D013689 // ZM00001D009286 // ZM00001D051556 // ZM00001D019813 // ZM00001D027592 // ZM00001D027690 // ZM00001D022623 // ZM00001D033222 // ZM00001D000157 // ZM00001D000095 // ZM00001D035724 // ZM00001D045172 // ZM00001D023690 // ZM00001D045232 // ZM00001D033377 // ZM00001D041319 // ZM00001D023458 // ZM00001D042076 // ZM00001D007876 // ZM00001D018819	Abscisic-Acid-Biosynthesis	CPD1F-133 // OXYGEN-MOLECULE // WATER // NAD	RXN1F-155 // RXN-8074 // RXN-698 // 1.2.3.14-RXN // 1.1.1.288-RXN
PWY-7642	WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-17688 // CPD-693 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	MONOMER-19209		Abscisic-Acid-Degradation	CPD-693 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	RXN-16465
PWY-5271	WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-7234 // CPD-693 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // Donor-H2 // CPD-7725 // CPD-7726 // Acceptor			Abscisic-Acid-Degradation	Donor-H2 // CPD-693 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	RXN-8154 // 1.14.13.93-RXN // RXN-8153
PWY-6333	PROTON // NADH // ACETALD // ETOH // NAD	MONOMERDQC-60856 // ZM00001D027995-MONOMER // MONOMERDQC-57830 // ZM00001D030347-MONOMER // ZM00001D049059-MONOMER // MONOMERDQC-53539 // MONOMERDQC-51978 // ZM00001D037562-MONOMER // MONOMERDQC-46169 // MONOMER-15098	ZM00001D051227 // ZM00001D027995 // ZM00001D018468 // ZM00001D030347 // ZM00001D049059 // ZM00001D033931 // ZM00001D027996 // ZM00001D037562 // ZM00001D030348 // G-11534	Acetaldehyde-Biosynthesis	ETOH // NAD	ALCOHOL-DEHYDROG-RXN
PWY-6330	CARBON-DIOXIDE // ACETALD // PROTON // PYRUVATE	ZM00001D028759-MONOMER // ZM00001D022579-MONOMER // MONOMERDQC-56017 // ZM00001D019176-MONOMER // ZM00001D008651-MONOMER // MONOMER-9201	ZM00001D028759 // ZM00001D022579 // ZM00001D010588 // ZM00001D019176 // ZM00001D008651	SECONDARY-METABOLITE-BIOSYNTHESIS // Acetaldehyde-Biosynthesis	PROTON // PYRUVATE	RXN-6161
PWY0-1313	AMP // PPI // ACETYL-COA // CO-A // ACET // ATP	MONOMERDQC-46895 // ZM00001D047663-MONOMER // MONOMERDQC-47283 // MONOMERDQC-58288 // MONOMERDQC-60878	ZM00001D000133 // ZM00001D047663 // ZM00001D016659 // ZM00001D028868 // ZM00001D034519	CARBOXYLATES-DEG	CO-A // ACET // ATP	ACETATE--COA-LIGASE-RXN
PWY-5172	ATP // CO-A // CIT // OXALACETIC_ACID // ACETYL-COA // Pi // ADP	ZM00001D031558-MONOMER // MONOMERDQC-44507 // ZM00001D009127-MONOMER // ZM00001D006405-MONOMER // ZM00001D002380-MONOMER // ZM00001D033426-MONOMER // ZM00001D041593-MONOMER // MONOMERDQC-51314 // ZM00001D031177-MONOMER // ZM00001D009454-MONOMER // ZM00001D050894-MONOMER // ZM00001D010708-MONOMER // MONOMERDQC-57563 // MONOMERDQC-58137 // ZM00001D047140-MONOMER // MONOMERDQC-59912 // ZM00001D018888-MONOMER // ZM00001D029927-MONOMER // ZM00001D040984-MONOMER	ZM00001D031558 // ZM00001D018129 // ZM00001D009127 // ZM00001D006405 // ZM00001D002380 // ZM00001D033426 // ZM00001D041593 // ZM00001D040603 // ZM00001D031177 // ZM00001D009454 // ZM00001D050894 // ZM00001D010708 // ZM00001D037566 // ZM00001D007369 // ZM00001D047140 // ZM00001D048627 // ZM00001D018888 // ZM00001D029927 // ZM00001D040984	Acetyl-CoA-Biosynthesis	CIT // CO-A // ATP	ATP-CITRATE-PRO-S--LYASE-RXN
PWY-6012	PANTETHEINE-P // WATER // PROTON // All-holo-ACPs // 3-5-ADP // All-apo-ACPs // CO-A	ZM00001D052437-MONOMER // MONOMERDQC-49524 // MONOMERDQC-51551 // MONOMERDQC-57482	ZM00001D052437 // ZM00001D003261 // ZM00001D025712 // ZM00001D027319	Carriers-Biosynthesis // Interconversion	CO-A // WATER	HOLO-ACP-SYNTH-RXN // 3.1.4.14-RXN
PWY-5148	PROTON // CO-A // CPD66-39 // Saturated-Fatty-Acyl-CoA // WATER	ZM00001D031593-MONOMER // ZM00001D052281-MONOMER // ZM00001D002652-MONOMER // ZM00001D030077-MONOMER // ZM00001D039303-MONOMER // MONOMERDQC-53495 // ZM00001D003630-MONOMER // ZM00001D025445-MONOMER // MONOMERDQC-48599 // ZM00001D008999-MONOMER // ZM00001D006133-MONOMER // ZM00001D006909-MONOMER // ZM00001D048584-MONOMER // MONOMERDQC-43272	ZM00001D031593 // ZM00001D052281 // ZM00001D002652 // ZM00001D030077 // ZM00001D039303 // ZM00001D005676 // ZM00001D003630 // ZM00001D025445 // ZM00001D026144 // ZM00001D008999 // ZM00001D006133 // ZM00001D006909 // ZM00001D048584 // ZM00001D026704	Lipid-Biosynthesis	Saturated-Fatty-Acyl-CoA // WATER	THIOESTER-RXN
PWY-5142	PROTON // ACP // Fatty-Acids // ACYL-ACP // WATER	MONOMERDQC-43227 // ZM00001D043062-MONOMER // ZM00001D017499-MONOMER // MONOMERDQC-50674 // ZM00001D017500-MONOMER	ZM00001D002728 // ZM00001D043062 // ZM00001D017499 // ZM00001D002727 // ZM00001D017500	Lipid-Biosynthesis	ACYL-ACP // WATER	RXN-7902
PWY-6605	PRPP // AMP // PPI // ADENINE // D-Ribofuranose // WATER // ADENOSINE	MONOMERDQC-42864 // MONOMERDQC-46456 // MONOMERDQC-47195 // MONOMERDQC-56566 // MONOMERDQC-60121 // MONOMERDQC-60877 // MONOMERDQC-43889 // ZM00001D010313-MONOMER	ZM00001D051080 // ZM00001D011075 // ZM00001D030895 // ZM00001D003108 // ZM00001D017204 // ZM00001D041352 // ZM00001D005343 // ZM00001D010313	Adenine-Adenosine-Salvage	WATER // ADENOSINE // PRPP	ADENOSINE-NUCLEOSIDASE-RXN // ADENPRIBOSYLTRAN-RXN
PWY-6619	ADP // AMP // PROTON // ADENOSINE // ATP	MONOMERDQC-47235 // ZM00001D051157-MONOMER // MONOMERDQC-60940	ZM00001D003017 // ZM00001D051157 // ZM00001D017271	Adenine-Adenosine-Salvage	ADENOSINE // ATP	ADENOSINE-KINASE-RXN
PWY-7227	Red-Thioredoxin // Ox-Thioredoxin // WATER // ADP // DATP // DADP // ATP	MONOMERDQC-59984 // ZM00001D003164-MONOMER // ZM00001D024340-MONOMER // ZM00001D037337-MONOMER // ZM00001D045649-MONOMER // MONOMERDQC-44445 // ZM00001D009774-MONOMER // ZM00001D024444-MONOMER // MONOMERDQC-54683 // MONOMERDQC-46736 // MONOMERDQC-45530 // ZM00001D029968-MONOMER // ZM00001D039221-MONOMER // ZM00001D004713-MONOMER	ZM00001D036322 // ZM00001D003164 // ZM00001D024340 // ZM00001D037337 // ZM00001D045649 // ZM00001D045192 // ZM00001D009774 // ZM00001D024444 // ZM00001D023833 // ZM00001D050827 // ZM00001D021526 // ZM00001D029968 // ZM00001D039221 // ZM00001D004713	Adenosine-Deoxy-Denovo-Bbiosynthesis	ATP // Red-Thioredoxin	DADPKIN-RXN // ADPREDUCT-RXN
PWY-6596	AMMONIUM // AMP // XANTHOSINE-5-PHOSPHATE // Pi // IMP // INOSINE // D-Ribofuranose // XANTHOSINE // URATE // PROTON // NADH // XANTHINE // HYPOXANTHINE // NAD // WATER	MONOMERDQC-52238 // MONOMERDQC-61171 // MONOMERDQC-46267 // MONOMERDQC-46615 // ZM00001D051908-MONOMER // MONOMERDQC-55544 // ZM00001D004452-MONOMER // ZM00001D047347-MONOMER // MONOMERDQC-58258 // ZM00001D000419-MONOMER // MONOMERDQC-57054 // MONOMERDQC-55158 // MONOMERDQC-54084 // ZM00001D029486-MONOMER // ZM00001D030102-MONOMER // MONOMERDQC-46072 // MONOMERDQC-45489 // MONOMERDQC-44866 // MONOMERDQC-43889 // MONOMERDQC-43265 // ZM00001D010313-MONOMER // MONOMERDQC-46044 // MONOMERDQC-49224 // ZM00001D009489-MONOMER // ZM00001D041533-MONOMER // MONOMERDQC-58557 // MONOMERDQC-46698 // ZM00001D030465-MONOMER	ZM00001D022581 // ZM00001D037982 // ZM00001D013140 // ZM00001D034320 // ZM00001D051908 // ZM00001D034023 // ZM00001D004452 // ZM00001D047347 // ZM00001D019123 // ZM00001D000419 // ZM00001D034245 // ZM00001D030008 // ZM00001D020549 // ZM00001D029486 // ZM00001D030102 // ZM00001D011699 // ZM00001D008363 // ZM00001D013664 // ZM00001D005343 // ZM00001D029646 // ZM00001D010313 // ZM00001D048701 // ZM00001D008376 // ZM00001D009489 // ZM00001D041533 // ZM00001D040238 // ZM00001D029626 // ZM00001D030465	Adenosine-Nucleotides-Degradation	NAD // WATER // AMP	RXN-7682 // RXN0-901 // RXN0-363 // INOSINE-NUCLEOSIDASE-RXN // RXN-7607 // XMPXAN-RXN // IMP-DEHYDROG-RXN // AMP-DEAMINASE-RXN
PWY-7219	GDP // Pi // PROTON // L-ASPARTATE // IMP // GTP // FUM // ADENYLOSUCC // ADP // AMP // ATP	ZM00001D033619-MONOMER // ZM00001D027871-MONOMER // ZM00001D034647-MONOMER // ZM00001D036799-MONOMER // ZM00001D043246-MONOMER // ZM00001D012053-MONOMER // ZM00001D021325-MONOMER // MONOMERDQC-51238 // ZM00001D039170-MONOMER // ZM00001D017520-MONOMER // MONOMERDQC-57138 // ZM00001D001887-MONOMER // ZM00001D000373-MONOMER // MONOMERDQC-46249 // ZM00001D026374-MONOMER // ZM00001D035124-MONOMER // ZM00001D006926-MONOMER // ZM00001D024051-MONOMER // MONOMERDQC-48403 // MONOMERDQC-48565 // ZM00001D004192-MONOMER // ZM00001D000371-MONOMER // ZM00001D016303-MONOMER // ZM00001D001885-MONOMER // MONOMERDQC-55509 // MONOMERDQC-56401 // MONOMERDQC-56414 // MONOMERDQC-57919 // MONOMERDQC-58419 // ZM00001D041814-MONOMER // MONOMERDQC-59601 // ZM00001D045373-MONOMER	ZM00001D033619 // ZM00001D027871 // ZM00001D034647 // ZM00001D036799 // ZM00001D043246 // ZM00001D012053 // ZM00001D021325 // ZM00001D028921 // ZM00001D039170 // ZM00001D017520 // ZM00001D047603 // ZM00001D001887 // ZM00001D000373 // ZM00001D035034 // ZM00001D026374 // ZM00001D035124 // ZM00001D006926 // ZM00001D024051 // ZM00001D041112 // ZM00001D012681 // ZM00001D004192 // ZM00001D000371 // ZM00001D016303 // ZM00001D001885 // ZM00001D050150 // ZM00001D027502 // ZM00001D000377 // ZM00001D019481 // ZM00001D044103 // ZM00001D041814 // ZM00001D026584 // ZM00001D045373	Purine-Ribonuc-De-Novo-Biosynthesis	ATP // L-ASPARTATE // IMP // GTP	ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN
